price,engine_volume,engine_power,engine_type,Коробка,Кузов,Привод,Пробег,Руль,Состояние,Таможня,Цвет,год выпуска
379 000,1.7,130,Бензин,автоматическая,компактвэн,передний,210 000,Правый,Не требует ремонта,Растаможен,белый,2001
279 000,2.0,200,Бензин,механическая,седан,передний,276 192,Правый,Не требует ремонта,Растаможен,чёрный,1998
1 550 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,227 000,Левый,Не требует ремонта,Растаможен,коричневый,2014
1 297 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,202 584,Левый,Не требует ремонта,Растаможен,белый,2012
439 000,1.8,140,Бензин,автоматическая,седан,передний,250 000,Левый,Не требует ремонта,Растаможен,синий,2007
1 040 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,223 613,Левый,Не требует ремонта,Растаможен,чёрный,2010
520 000,2.4,190,Бензин,автоматическая,седан,передний,375 135,Левый,Не требует ремонта,Растаможен,чёрный,2006
1 335 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,194 505,Левый,Не требует ремонта,Растаможен,белый,2013
460 000,1.3,95,Гибрид,вариатор,седан,передний,133 000,Левый,Не требует ремонта,Растаможен,коричневый,2008
949 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,235 738,Левый,Не требует ремонта,Растаможен,серебристый,2008
1 635 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,81 678,Левый,Не требует ремонта,Растаможен,коричневый,2013
1 199 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,126 587,Левый,Не требует ремонта,Растаможен,коричневый,2011
837 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,215 068,Левый,Не требует ремонта,Растаможен,серебристый,2007
1 119 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,254 000,Левый,Не требует ремонта,Растаможен,чёрный,2012
400 000,1.8,140,Бензин,роботизированная,хэтчбек 5 дв.,передний,178 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
1 400 000,2.0,158,Бензин,вариатор,седан,передний,50 000,Левый,Не требует ремонта,Растаможен,серебристый,2018
559 000,1.8,140,Бензин,автоматическая,седан,передний,96 000,Левый,Не требует ремонта,Растаможен,синий,2007
395 000,1.8,140,Бензин,механическая,седан,передний,251 500,Левый,Не требует ремонта,Растаможен,серый,2007
2 398 000,2.4,186,Бензин,вариатор,внедорожник 5 дв.,полный,81 500,Левый,Не требует ремонта,Растаможен,серый,2018
1 769 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,11 378,Левый,Не требует ремонта,Растаможен,чёрный,2014
460 000,1.8,140,Бензин,механическая,седан,передний,145 423,Левый,Не требует ремонта,Растаможен,серебристый,2008
782 000,1.8,142,Бензин,автоматическая,седан,передний,175 597,Левый,Не требует ремонта,Растаможен,белый,2012
1 700 000,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,115 722,Левый,Не требует ремонта,Растаможен,коричневый,2013
1 399 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,84 200,Левый,Не требует ремонта,Растаможен,белый,2013
1 367 000,2.0,150,Бензин,вариатор,минивэн,передний,72 000,Правый,Не требует ремонта,Растаможен,серый,2015
737 000,1.3,88,Гибрид,вариатор,универсал 5 дв.,передний,71 000,Правый,Не требует ремонта,Растаможен,чёрный,2013
650 000,0.7,52,Бензин,автоматическая,микровэн,полный,50 000,Правый,Не требует ремонта,Растаможен,чёрный,2015
1 959 000,3.5,249,Бензин,автоматическая,внедорожник 5 дв.,полный,97 000,Левый,Не требует ремонта,Растаможен,чёрный,2012
1 599 000,3.5,281,Бензин,автоматическая,внедорожник 5 дв.,полный,91 355,Левый,Не требует ремонта,Растаможен,коричневый,2014
889 000,3.5,257,Бензин,автоматическая,внедорожник 5 дв.,передний,193 106,Левый,Не требует ремонта,Растаможен,серебристый,2008
230 000,1.7,120,Бензин,автоматическая,купе,передний,190 000,Левый,Не требует ремонта,Растаможен,серебристый,2001
590 000,2.4,201,Бензин,автоматическая,седан,передний,330 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
360 000,1.8,140,Бензин,роботизированная,хэтчбек 5 дв.,передний,175 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
1 040 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,202 203,Левый,Не требует ремонта,Растаможен,чёрный,2010
495 000,2.4,190,Бензин,автоматическая,седан,передний,260 000,Левый,Не требует ремонта,Растаможен,синий,2007
1 300 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,102 787,Левый,Не требует ремонта,Растаможен,серебристый,2012
1 149 000,2.4,180,Бензин,автоматическая,седан,передний,113 342,Левый,Не требует ремонта,Растаможен,белый,2013
499 990,1.3,95,Гибрид,вариатор,седан,передний,133 900,Левый,Не требует ремонта,Растаможен,красный,2009
1 249 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,68 000,Левый,Не требует ремонта,Растаможен,белый,2012
1 470 000,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,121 000,Левый,Не требует ремонта,Растаможен,коричневый,2013
1 599 000,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,83 000,Левый,Не требует ремонта,Растаможен,серебристый,2014
280 000,2.0,147,Бензин,автоматическая,внедорожник 5 дв.,полный,264 000,Левый,Не требует ремонта,Растаможен,жёлтый,1999
484 000,1.8,140,Бензин,механическая,седан,передний,164 000,Левый,Не требует ремонта,Растаможен,серебристый,2007
650 000,1.8,142,Бензин,автоматическая,седан,передний,192 000,Левый,Не требует ремонта,Растаможен,чёрный,2012
1 099 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,216 600,Левый,Не требует ремонта,Растаможен,синий,2011
970 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,110 000,Левый,Не требует ремонта,Растаможен,серый,2008
370 000,2.0,147,Бензин,автоматическая,внедорожник 5 дв.,полный,190 000,Левый,Не требует ремонта,Растаможен,зелёный,2000
1 390 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,124 000,Левый,Не требует ремонта,Растаможен,бежевый,2013
2 148 000,1.5,190,Бензин,вариатор,внедорожник 5 дв.,полный,47 000,Левый,Не требует ремонта,Растаможен,красный,2017
407 000,1.8,140,Бензин,автоматическая,седан,передний,308 890,Левый,Не требует ремонта,Растаможен,серый,2008
2 095 000,2.0,150,Бензин,вариатор,внедорожник 5 дв.,полный,43 000,Левый,Не требует ремонта,Растаможен,красный,2017
505 000,2.4,162,Бензин,автоматическая,внедорожник 5 дв.,полный,164 678,Левый,Не требует ремонта,Растаможен,чёрный,2003
1 579 000,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,178 400,Левый,Не требует ремонта,Растаможен,чёрный,2014
1 800 000,2.4,188,Бензин,вариатор,внедорожник 5 дв.,полный,56 000,Левый,Не требует ремонта,Растаможен,чёрный,2015
555 000,1.8,140,Бензин,автоматическая,седан,передний,214 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
950 000,2.4,200,Бензин,автоматическая,седан,передний,166 083,Левый,Не требует ремонта,Растаможен,серый,2010
957 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,203 517,Левый,Не требует ремонта,Растаможен,красный,2009
620 000,2.0,156,Бензин,автоматическая,седан,передний,162 000,Левый,Не требует ремонта,Растаможен,синий,2008
330 000,2.0,147,Бензин,автоматическая,внедорожник 5 дв.,полный,225 000,Левый,Не требует ремонта,Растаможен,зелёный,2001
560 000,1.8,140,Бензин,автоматическая,седан,передний,139 614,Левый,Не требует ремонта,Растаможен,бежевый,2008
1 319 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,155 000,Левый,Не требует ремонта,Растаможен,чёрный,2012
135 000,1.5,105,Бензин,вариатор,седан,передний,337 799,Правый,Не требует ремонта,Растаможен,синий,2002
899 000,3.7,295,Бензин,автоматическая,седан,полный,112 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
1 600 489,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,89 288,Левый,Не требует ремонта,Растаможен,коричневый,2013
755 000,2.0,155,Бензин,автоматическая,минивэн,полный,250 000,Правый,Не требует ремонта,Растаможен,белый,2006
499 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,237 000,Левый,Не требует ремонта,Растаможен,серебристый,2003
1 250 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,134 260,Левый,Не требует ремонта,Растаможен,белый,2013
857 000,1.3,100,Бензин,вариатор,хэтчбек 5 дв.,передний,64 150,Правый,Не требует ремонта,Растаможен,синий,2016
1 210 000,2.4,180,Бензин,автоматическая,седан,передний,161 000,Левый,Не требует ремонта,Растаможен,белый,2013
1 350 000,2.4,194,Бензин,автоматическая,внедорожник 5 дв.,передний,172 924,Левый,Не требует ремонта,Растаможен,чёрный,2013
650 000,1.8,140,Бензин,автоматическая,хэтчбек 5 дв.,передний,192 000,Левый,Не требует ремонта,Растаможен,чёрный,2010
2 549 900,2.4,186,Бензин,вариатор,внедорожник 5 дв.,полный,17 995,Левый,Не требует ремонта,Растаможен,серебристый,2018
390 000,2.4,162,Бензин,механическая,внедорожник 5 дв.,полный,192 000,Левый,Не требует ремонта,Растаможен,коричневый,2004
1 100 000,2.4,200,Бензин,автоматическая,седан,передний,251 000,Левый,Не требует ремонта,Растаможен,чёрный,2012
1 670 000,3.5,249,Бензин,автоматическая,внедорожник 5 дв.,полный,133 120,Левый,Не требует ремонта,Растаможен,чёрный,2012
1 459 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,80 714,Левый,Не требует ремонта,Растаможен,чёрный,2013
520 000,2.0,155,Бензин,автоматическая,седан,передний,257 580,Левый,Не требует ремонта,Растаможен,чёрный,2007
890 000,3.5,257,Бензин,автоматическая,внедорожник 5 дв.,полный,195 315,Левый,Не требует ремонта,Растаможен,красный,2008
400 000,1.6,124,Бензин,вариатор,внедорожник 5 дв.,полный,290 000,Правый,Не требует ремонта,Растаможен,серый,1999
1 250 000,2.4,200,Бензин,автоматическая,седан,передний,141 000,Левый,Не требует ремонта,Растаможен,белый,2012
797 000,2.4,201,Бензин,автоматическая,седан,передний,252 500,Левый,Не требует ремонта,Растаможен,чёрный,2008
580 000,1.8,140,Бензин,автоматическая,седан,передний,325 575,Левый,Не требует ремонта,Растаможен,серый,2010
1 345 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,183 585,Левый,Не требует ремонта,Растаможен,коричневый,2011
775 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,144 100,Левый,Не требует ремонта,Растаможен,чёрный,2008
1 098 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,175 500,Левый,Не требует ремонта,Растаможен,серебристый,2010
1 600 000,2.4,190,Бензин,автоматическая,внедорожник 5 дв.,полный,143 550,Левый,Не требует ремонта,Растаможен,серый,2014
1 347 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,195 291,Левый,Не требует ремонта,Растаможен,коричневый,2013
1 429 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,86 000,Левый,Не требует ремонта,Растаможен,белый,2013
989 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,203 089,Левый,Не требует ремонта,Растаможен,серебристый,2008
749 000,1.5,118,Бензин,вариатор,компактвэн,передний,80 000,Правый,Не требует ремонта,Растаможен,серый,2009
409 000,1.3,83,Бензин,вариатор,хэтчбек 5 дв.,передний,107 436,Левый,Не требует ремонта,Растаможен,серый,2008
690 000,1.8,140,Бензин,автоматическая,седан,передний,212 932,Левый,Не требует ремонта,Растаможен,белый,2011
550 000,2.4,160,Бензин,вариатор,компактвэн,передний,155 000,Правый,Не требует ремонта,Растаможен,фиолетовый,2004
849 000,3.5,257,Бензин,автоматическая,внедорожник 5 дв.,полный,140 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
298 000,1.6,124,Бензин,механическая,внедорожник 5 дв.,полный,265 000,Левый,Не требует ремонта,Растаможен,зелёный,1999
